# Curated muscle facts. One muscle per line:
#   Name (exactly as in manifest.json) | origin ; origin | insertion ; insertion | action ; action | innervation | joint.movement.P/A, ...
# P = prime mover, A = assists. Joint and movement slugs come from web/data/vocab.json. "A = B" makes A an alias of B.
# Standard textbook values (Gray's / Moore / Netter); keep every field short. Build with tools/build_muscle_facts.py.

## ---- shoulder girdle and thorax
Descending part of trapezius muscle | Superior nuchal line, external occipital protuberance, nuchal ligament | Lateral third of clavicle, acromion | Elevates scapula; upward rotation; extends and laterally flexes neck | Accessory n. (CN XI), C3–C4 | scapulothoracic.elevation.P, scapulothoracic.upward-rotation.P, cervical-spine.extension.A, cervical-spine.lateral-flexion.A
Transverse part of trapezius muscle | Spinous processes C7–T3 | Acromion, spine of scapula (lateral part) | Retracts scapula | Accessory n. (CN XI), C3–C4 | scapulothoracic.retraction.P
Ascending part of trapezius muscle | Spinous processes T4–T12 | Medial end of spine of scapula | Depresses scapula; upward rotation; retracts | Accessory n. (CN XI), C3–C4 | scapulothoracic.depression.P, scapulothoracic.upward-rotation.A, scapulothoracic.retraction.A
Levator scapulae | Transverse processes C1–C4 | Superior angle and medial border of scapula (above spine) | Elevates scapula; downward rotation; lateral flexion of neck | Dorsal scapular n. (C5), C3–C4 | scapulothoracic.elevation.P, scapulothoracic.downward-rotation.A, cervical-spine.lateral-flexion.A
Rhomboid major muscle | Spinous processes T2–T5 | Medial border of scapula (below spine) | Retracts scapula; downward rotation; fixes scapula to thorax | Dorsal scapular n. (C4–C5) | scapulothoracic.retraction.P, scapulothoracic.downward-rotation.A, scapulothoracic.elevation.A
Rhomboid minor muscle | Nuchal ligament, spinous processes C7–T1 | Medial border of scapula at root of spine | Retracts scapula; downward rotation; fixes scapula to thorax | Dorsal scapular n. (C4–C5) | scapulothoracic.retraction.P, scapulothoracic.downward-rotation.A, scapulothoracic.elevation.A
Serratus anterior muscle | Outer surfaces of ribs 1–8 (9) | Anterior surface of medial border of scapula | Protracts scapula; upward rotation; holds scapula against thorax | Long thoracic n. (C5–C7) | scapulothoracic.protraction.P, scapulothoracic.upward-rotation.P
Pectoralis minor muscle | Ribs 3–5 (anterior surfaces) | Coracoid process | Protracts and depresses scapula; downward rotation | Medial pectoral n. (C8–T1) | scapulothoracic.protraction.P, scapulothoracic.depression.A, scapulothoracic.downward-rotation.A
Subclavius muscle | First rib and its costal cartilage | Inferior surface of middle third of clavicle | Depresses clavicle; steadies sternoclavicular joint | Nerve to subclavius (C5–C6) | sternoclavicular.depression.P
Clavicular head of pectoralis major muscle | Medial half of clavicle | Lateral lip of intertubercular groove of humerus | Flexes, adducts and medially rotates arm | Lateral pectoral n. (C5–C7) | glenohumeral.flexion.P, glenohumeral.medial-rotation.P, glenohumeral.horizontal-adduction.P, glenohumeral.adduction.A
Sternocostal head of pectoralis major muscle | Sternum, costal cartilages 1–6, external oblique aponeurosis | Lateral lip of intertubercular groove of humerus | Adducts and medially rotates arm; extends flexed arm | Lateral and medial pectoral nn. (C5–T1) | glenohumeral.adduction.P, glenohumeral.medial-rotation.P, glenohumeral.horizontal-adduction.P, glenohumeral.extension.A
